t,Ekin,Epot,Etot
0.000166667,0.000147227,0.0884261,0.0885734
0.000333333,0.000587278,0.0879858,0.0885731
0.0005,0.00131529,0.0872573,0.0885726
0.000666667,0.00232323,0.0862486,0.0885719
0.000833333,0.00360005,0.084971,0.088571
0.001,0.00513182,0.0834381,0.08857
0.00116667,0.00690195,0.0816668,0.0885688
0.00133333,0.00889147,0.079676,0.0885675
0.0015,0.0110793,0.0774868,0.088566
0.00166667,0.0134424,0.0751221,0.0885645
0.00183333,0.0159566,0.0726063,0.0885629
0.002,0.0185962,0.069965,0.0885613
0.00216667,0.0213351,0.0672244,0.0885596
0.00233333,0.0241466,0.0644113,0.0885579
0.0025,0.027004,0.0615523,0.0885563
0.00266667,0.0298809,0.0586738,0.0885547
0.00283333,0.0327516,0.0558015,0.0885531
0.003,0.0355913,0.0529604,0.0885516
0.00316667,0.0383765,0.0501738,0.0885503
0.00333333,0.0410852,0.0474638,0.088549
0.0035,0.0436971,0.0448507,0.0885478
0.00366667,0.046194,0.0423528,0.0885468
0.00383333,0.0485595,0.0399865,0.0885459
0.004,0.0507795,0.0377657,0.0885452
0.00416667,0.0528424,0.0357023,0.0885446
0.00433333,0.0547384,0.0338057,0.0885442
0.0045,0.0564606,0.0320833,0.0885439
0.00466667,0.0580039,0.0305398,0.0885437
0.00483333,0.0593657,0.0291779,0.0885436
0.005,0.0605454,0.0279983,0.0885437
0.00516667,0.0615443,0.0269996,0.0885439
0.00533333,0.0623658,0.0261785,0.0885443
0.0055,0.0630147,0.02553,0.0885447
0.00566667,0.0634975,0.0250477,0.0885451
0.00583333,0.0638219,0.0247238,0.0885457
0.006,0.0639968,0.0245495,0.0885463
0.00616667,0.0640321,0.0245148,0.088547
0.00633333,0.0639383,0.0246093,0.0885477
0.0065,0.0637265,0.0248218,0.0885484
0.00666667,0.0634082,0.0251409,0.0885491
0.00683333,0.0629949,0.0255549,0.0885498
0.007,0.0624984,0.0260521,0.0885506
0.00716667,0.0619302,0.0266211,0.0885513
0.00733333,0.0613015,0.0272505,0.088552
0.0075,0.0606232,0.0279294,0.0885526
0.00766667,0.0599057,0.0286475,0.0885532
0.00783333,0.0591588,0.029395,0.0885538
0.008,0.0583918,0.0301626,0.0885543
0.00816667,0.057613,0.0309418,0.0885548
0.00833333,0.0568302,0.031725,0.0885552
0.0085,0.0560505,0.0325052,0.0885556
0.00866667,0.05528,0.033276,0.088556
0.00883333,0.0545242,0.0340321,0.0885563
0.009,0.0537879,0.0347686,0.0885565
0.00916667,0.0530749,0.0354818,0.0885567
0.00933333,0.0523887,0.0361681,0.0885569
0.0095,0.0517319,0.0368251,0.088557
0.00966667,0.0511064,0.0374507,0.0885571
0.00983333,0.0505138,0.0380434,0.0885572
0.01,0.0499549,0.0386023,0.0885572
0.0101667,0.0494303,0.0391269,0.0885572
0.0103333,0.0489399,0.0396172,0.0885572
0.0105,0.0484836,0.0400735,0.0885571
0.0106667,0.0480607,0.0404964,0.0885571
0.0108333,0.0476702,0.0408868,0.088557
0.011,0.0473111,0.0412458,0.0885569
0.0111667,0.0469822,0.0415747,0.0885568
0.0113333,0.0466819,0.0418749,0.0885567
0.0115,0.0464088,0.0421478,0.0885566
0.0116667,0.0461613,0.0423952,0.0885565
0.0118333,0.0459378,0.0426187,0.0885564
0.012,0.0457366,0.0428197,0.0885563
0.0121667,0.0455561,0.0430001,0.0885562
0.0123333,0.0453947,0.0431614,0.0885561
0.0125,0.0452509,0.0433051,0.088556
0.0126667,0.0451232,0.0434328,0.088556
0.0128333,0.04501,0.0435458,0.0885559
0.013,0.0449101,0.0436457,0.0885558
0.0131667,0.0448222,0.0437335,0.0885557
0.0133333,0.0447451,0.0438105,0.0885557
0.0135,0.0446776,0.0438779,0.0885556
0.0136667,0.0446188,0.0439367,0.0885555
0.0138333,0.0445676,0.0439878,0.0885555
0.014,0.0445233,0.0440321,0.0885554
0.0141667,0.0444849,0.0440704,0.0885554
0.0143333,0.0444519,0.0441035,0.0885553
0.0145,0.0444235,0.0441318,0.0885553
0.0146667,0.0443991,0.0441561,0.0885553
0.0148333,0.0443783,0.0441769,0.0885552
0.015,0.0443606,0.0441946,0.0885552
0.0151667,0.0443455,0.0442097,0.0885552
0.0153333,0.0443327,0.0442224,0.0885552
0.0155,0.0443219,0.0442332,0.0885552
0.0156667,0.0443128,0.0442423,0.0885551
0.0158333,0.0443052,0.0442499,0.0885551
0.016,0.0442988,0.0442563,0.0885551
0.0161667,0.0442934,0.0442617,0.0885551
0.0163333,0.0442889,0.0442661,0.0885551
0.0165,0.0442852,0.0442699,0.0885551
0.0166667,0.0442821,0.0442729,0.0885551
0.0168333,0.0442796,0.0442755,0.0885551
0.017,0.0442775,0.0442776,0.0885551
0.0171667,0.0442758,0.0442793,0.0885551
0.0173333,0.0442744,0.0442807,0.0885551
0.0175,0.0442732,0.0442819,0.0885551
0.0176667,0.0442722,0.0442828,0.0885551
0.0178333,0.0442715,0.0442836,0.0885551
0.018,0.0442708,0.0442842,0.0885551
0.0181667,0.0442703,0.0442847,0.0885551
0.0183333,0.0442699,0.0442851,0.0885551
0.0185,0.0442696,0.0442855,0.0885551
0.0186667,0.0442693,0.0442857,0.0885551
0.0188333,0.0442691,0.0442859,0.088555
0.019,0.0442689,0.0442861,0.088555
0.0191667,0.0442688,0.0442862,0.088555
0.0193333,0.0442687,0.0442863,0.088555
0.0195,0.0442686,0.0442864,0.088555
0.0196667,0.0442686,0.0442865,0.088555
0.0198333,0.0442685,0.0442865,0.088555
0.02,0.0442685,0.0442866,0.088555
0.0201667,0.0442684,0.0442866,0.088555
0.0203333,0.0442684,0.0442866,0.088555
0.0205,0.0442684,0.0442867,0.088555
